region,year,yoy_increase,median_price,scenario
Sherbrooke,1978,0.05,41368.8,
Sherbrooke,1979,0.05,43437.2,
Sherbrooke,1980,0.08,45609.0,
Sherbrooke,1981,0.08,49257.8,
Sherbrooke,1982,0.08,53198.4,
Sherbrooke,1983,0.08,57454.3,
Sherbrooke,1984,0.08,62050.6,
Sherbrooke,1985,0.08,67014.7,
Sherbrooke,1986,0.08,72375.8,
Sherbrooke,1987,0.08,78165.9,
Sherbrooke,1988,0.08,84419.2,
Sherbrooke,1989,0.08,91172.7,
Sherbrooke,1990,0.04,98466.5,
Sherbrooke,1991,0.04,102405.2,
Sherbrooke,1992,0.04,106501.4,
Sherbrooke,1993,0.04,110761.4,
Sherbrooke,1994,0.04,115191.9,
Sherbrooke,1995,0.04,119799.6,
Sherbrooke,1996,0.04,124591.6,
Sherbrooke,1997,0.04,129575.2,
Sherbrooke,1998,0.04,134758.2,
Sherbrooke,1999,0.04,140148.6,
Sherbrooke,2000,0.06,145754.5,
Sherbrooke,2001,0.06,154499.8,
Sherbrooke,2002,0.06,163769.8,
Sherbrooke,2003,0.06,173595.9,
Sherbrooke,2004,0.06,184011.7,
Sherbrooke,2005,0.06,195052.4,
Sherbrooke,2006,0.06,206755.5,
Sherbrooke,2007,0.06,219160.9,
Sherbrooke,2008,0.06,232310.5,
Sherbrooke,2009,0.06,246249.2,
Sherbrooke,2010,0.05,261024.1,
Sherbrooke,2011,0.05,274075.3,
Sherbrooke,2012,0.05,287779.1,
Sherbrooke,2013,0.05,302168.0,
Sherbrooke,2014,0.05,317276.4,
Sherbrooke,2015,0.05,333140.3,
Sherbrooke,2016,0.05,349797.3,
Sherbrooke,2017,0.05,367287.1,
Sherbrooke,2018,0.05,385651.5,
Sherbrooke,2019,0.05,404934.1,
Sherbrooke,2020,0.07,425180.8,
Sherbrooke,2021,0.08,491338.9,recent
Sherbrooke,2021,0.06,482240.0,average
Sherbrooke,2022,0.08,525732.6,recent
Sherbrooke,2022,0.06,515996.8,average
Sherbrooke,2023,0.08,562533.9,recent
Sherbrooke,2023,0.06,552116.6,average
Sherbrooke,2024,0.08,601911.3,recent
Sherbrooke,2024,0.06,590764.8,average
Sherbrooke,2025,0.08,644045.1,recent
Sherbrooke,2025,0.06,632118.3,average
Trois-Rivières,1970,0.05,26000.0,
Trois-Rivières,1971,0.05,27300.0,
Trois-Rivières,1972,0.05,28665.0,
Trois-Rivières,1973,0.05,30098.2,
Trois-Rivières,1974,0.05,31603.2,
Trois-Rivières,1975,0.05,33183.3,
Trois-Rivières,1976,0.05,34842.5,
Trois-Rivières,1977,0.05,36584.6,
Trois-Rivières,1978,0.05,38413.8,
Trois-Rivières,1979,0.05,40334.5,
Trois-Rivières,1980,0.08,42351.3,
Trois-Rivières,1981,0.08,45739.4,
Trois-Rivières,1982,0.08,49398.5,
Trois-Rivières,1983,0.08,53350.4,
Trois-Rivières,1984,0.08,57618.4,
Trois-Rivières,1985,0.08,62227.9,
Trois-Rivières,1986,0.08,67206.1,
Trois-Rivières,1987,0.08,72582.6,
Trois-Rivières,1988,0.08,78389.2,
Trois-Rivières,1989,0.08,84660.4,
Trois-Rivières,1990,0.04,91433.2,
Trois-Rivières,1991,0.04,95090.5,
Trois-Rivières,1992,0.04,98894.1,
Trois-Rivières,1993,0.04,102849.9,
Trois-Rivières,1994,0.04,106963.9,
Trois-Rivières,1995,0.04,111242.5,
Trois-Rivières,1996,0.04,115692.2,
Trois-Rivières,1997,0.04,120319.8,
Trois-Rivières,1998,0.04,125132.6,
Trois-Rivières,1999,0.04,130137.9,
Trois-Rivières,2000,0.06,135343.5,
Trois-Rivières,2001,0.06,143464.1,
Trois-Rivières,2002,0.06,152071.9,
Trois-Rivières,2003,0.06,161196.2,
Trois-Rivières,2004,0.06,170868.0,
Trois-Rivières,2005,0.06,181120.1,
Trois-Rivières,2006,0.06,191987.3,
Trois-Rivières,2007,0.06,203506.5,
Trois-Rivières,2008,0.06,215716.9,
Trois-Rivières,2009,0.06,228659.9,
Trois-Rivières,2010,0.05,242379.5,
Trois-Rivières,2011,0.05,254498.5,
Trois-Rivières,2012,0.05,267223.4,
Trois-Rivières,2013,0.05,280584.6,
Trois-Rivières,2014,0.05,294613.8,
Trois-Rivières,2015,0.05,309344.5,
Trois-Rivières,2016,0.05,324811.8,
Trois-Rivières,2017,0.05,341052.3,
Trois-Rivières,2018,0.05,358105.0,
Trois-Rivières,2019,0.05,376010.2,
Trois-Rivières,2020,0.07,394810.7,
Trois-Rivières,2021,0.08,456243.3,recent
Trois-Rivières,2021,0.06,447794.3,average
Trois-Rivières,2022,0.08,488180.3,recent
Trois-Rivières,2022,0.06,479139.9,average
Trois-Rivières,2023,0.08,522352.9,recent
Trois-Rivières,2023,0.06,512679.7,average
Trois-Rivières,2024,0.08,558917.6,recent
Trois-Rivières,2024,0.06,548567.3,average
Trois-Rivières,2025,0.08,598041.8,recent
Trois-Rivières,2025,0.06,586967.0,average
Saguenay,1970,0.05,24000.0,
Saguenay,1971,0.05,25200.0,
Saguenay,1972,0.05,26460.0,
Saguenay,1973,0.05,27783.0,
Saguenay,1974,0.05,29172.2,
Saguenay,1975,0.05,30630.8,
Saguenay,1976,0.05,32162.3,
Saguenay,1977,0.05,33770.4,
Saguenay,1978,0.05,35458.9,
Saguenay,1979,0.05,37231.9,
Saguenay,1980,0.08,39093.5,
Saguenay,1981,0.08,42220.9,
Saguenay,1982,0.08,45598.6,
Saguenay,1983,0.08,49246.5,
Saguenay,1984,0.08,53186.2,
Saguenay,1985,0.08,57441.1,
Saguenay,1986,0.08,62036.4,
Saguenay,1987,0.08,66999.3,
Saguenay,1988,0.08,72359.3,
Saguenay,1989,0.08,78148.0,
Saguenay,1990,0.04,84399.9,
Saguenay,1991,0.04,87775.9,
Saguenay,1992,0.04,91286.9,
Saguenay,1993,0.04,94938.4,
Saguenay,1994,0.04,98735.9,
Saguenay,1995,0.04,102685.3,
Saguenay,1996,0.04,106792.8,
Saguenay,1997,0.04,111064.5,
Saguenay,1998,0.04,115507.1,
Saguenay,1999,0.04,120127.3,
Saguenay,2000,0.06,124932.4,
Saguenay,2001,0.06,132428.4,
Saguenay,2002,0.06,140374.1,
Saguenay,2003,0.06,148796.5,
Saguenay,2004,0.06,157724.3,
Saguenay,2005,0.06,167187.8,
Saguenay,2006,0.06,177219.0,
Saguenay,2007,0.06,187852.2,
Saguenay,2008,0.06,199123.3,
Saguenay,2009,0.06,211070.7,
Saguenay,2010,0.05,223735.0,
Saguenay,2011,0.05,234921.7,
Saguenay,2012,0.05,246667.8,
Saguenay,2013,0.05,259001.2,
Saguenay,2014,0.05,271951.2,
Saguenay,2015,0.05,285548.8,
Saguenay,2016,0.05,299826.2,
Saguenay,2017,0.05,314817.5,
Saguenay,2018,0.05,330558.4,
Saguenay,2019,0.05,347086.3,
Saguenay,2020,0.07,364440.7,
Saguenay,2021,0.08,421147.6,recent
Saguenay,2021,0.06,413348.6,average
Saguenay,2022,0.08,450628.0,recent
Saguenay,2022,0.06,442283.0,average
Saguenay,2023,0.08,482171.9,recent
Saguenay,2023,0.06,473242.8,average
Saguenay,2024,0.08,515924.0,recent
Saguenay,2024,0.06,506369.8,average
Saguenay,2025,0.08,552038.6,recent
Saguenay,2025,0.06,541815.7,average
Laval,1970,0.05,34000.0,
Laval,1971,0.05,35700.0,
Laval,1972,0.05,37485.0,
Laval,1973,0.05,39359.2,
Laval,1974,0.05,41327.2,
Laval,1975,0.05,43393.6,
Laval,1976,0.05,45563.3,
Laval,1977,0.05,47841.4,
Laval,1978,0.05,50233.5,
Laval,1979,0.05,52745.2,
Laval,1980,0.08,55382.4,
Laval,1981,0.08,59813.0,
Laval,1982,0.08,64598.1,
Laval,1983,0.08,69765.9,
Laval,1984,0.08,75347.2,
Laval,1985,0.08,81374.9,
Laval,1986,0.08,87884.9,
Laval,1987,0.08,94915.7,
Laval,1988,0.08,102509.0,
Laval,1989,0.08,110709.7,
Laval,1990,0.04,119566.5,
Laval,1991,0.04,124349.1,
Laval,1992,0.04,129323.1,
Laval,1993,0.04,134496.0,
Laval,1994,0.04,139875.9,
Laval,1995,0.04,145470.9,
Laval,1996,0.04,151289.7,
Laval,1997,0.04,157341.3,
Laval,1998,0.04,163635.0,
Laval,1999,0.04,170180.4,
Laval,2000,0.06,176987.6,
Laval,2001,0.06,187606.9,
Laval,2002,0.06,198863.3,
Laval,2003,0.06,210795.1,
Laval,2004,0.06,223442.8,
Laval,2005,0.06,236849.3,
Laval,2006,0.06,251060.3,
Laval,2007,0.06,266123.9,
Laval,2008,0.06,282091.4,
Laval,2009,0.06,299016.8,
Laval,2010,0.05,316957.8,
Laval,2011,0.05,332805.7,
Laval,2012,0.05,349446.0,
Laval,2013,0.05,366918.3,
Laval,2014,0.05,385264.2,
Laval,2015,0.05,404527.5,
Laval,2016,0.05,424753.8,
Laval,2017,0.05,445991.5,
Laval,2018,0.05,468291.1,
Laval,2019,0.05,491705.7,
Laval,2020,0.07,516290.9,
Laval,2021,0.08,596625.8,recent
Laval,2021,0.06,585577.2,average
Laval,2022,0.08,638389.6,recent
Laval,2022,0.06,626567.6,average
Laval,2023,0.08,683076.9,recent
Laval,2023,0.06,670427.3,average
Laval,2024,0.08,730892.3,recent
Laval,2024,0.06,717357.2,average
Laval,2025,0.08,782054.7,recent
Laval,2025,0.06,767572.2,average
Longueuil,1970,0.05,31000.0,
Longueuil,1971,0.05,32550.0,
Longueuil,1972,0.05,34177.5,
Longueuil,1973,0.05,35886.4,
Longueuil,1974,0.05,37680.7,
Longueuil,1975,0.05,39564.7,
Longueuil,1976,0.05,41543.0,
Longueuil,1977,0.05,43620.1,
Longueuil,1978,0.05,45801.1,
Longueuil,1979,0.05,48091.2,
Longueuil,1980,0.08,50495.7,
Longueuil,1981,0.08,54535.4,
Longueuil,1982,0.08,58898.2,
Longueuil,1983,0.08,63610.1,
Longueuil,1984,0.08,68698.9,
Longueuil,1985,0.08,74194.8,
Longueuil,1986,0.08,80130.4,
Longueuil,1987,0.08,86540.8,
Longueuil,1988,0.08,93464.1,
Longueuil,1989,0.08,100941.2,
Longueuil,1990,0.04,109016.5,
Longueuil,1991,0.04,113377.2,
Longueuil,1992,0.04,117912.2,
Longueuil,1993,0.04,122628.7,
Longueuil,1994,0.04,127533.9,
Longueuil,1995,0.04,132635.2,
Longueuil,1996,0.04,137940.7,
Longueuil,1997,0.04,143458.3,
Longueuil,1998,0.04,149196.6,
Longueuil,1999,0.04,155164.5,
Longueuil,2000,0.06,161371.1,
Longueuil,2001,0.06,171053.3,
Longueuil,2002,0.06,181316.5,
Longueuil,2003,0.06,192195.5,
Longueuil,2004,0.06,203727.2,
Longueuil,2005,0.06,215950.9,
Longueuil,2006,0.06,228907.9,
Longueuil,2007,0.06,242642.4,
Longueuil,2008,0.06,257200.9,
Longueuil,2009,0.06,272633.0,
Longueuil,2010,0.05,288991.0,
Longueuil,2011,0.05,303440.5,
Longueuil,2012,0.05,318612.6,
Longueuil,2013,0.05,334543.2,
Longueuil,2014,0.05,351270.3,
Longueuil,2015,0.05,368833.9,
Longueuil,2016,0.05,387275.6,
Longueuil,2017,0.05,406639.3,
Longueuil,2018,0.05,426971.3,
Longueuil,2019,0.05,448319.9,
Longueuil,2020,0.07,470735.9,
Longueuil,2021,0.08,543982.4,recent
Longueuil,2021,0.06,533908.6,average
Longueuil,2022,0.08,582061.1,recent
Longueuil,2022,0.06,571282.2,average
Longueuil,2023,0.08,622805.4,recent
Longueuil,2023,0.06,611272.0,average
Longueuil,2024,0.08,666401.8,recent
Longueuil,2024,0.06,654061.0,average
Longueuil,2025,0.08,713049.9,recent
Longueuil,2025,0.06,699845.3,average
Lévis,1970,0.05,29000.0,
Lévis,1971,0.05,30450.0,
Lévis,1972,0.05,31972.5,
Lévis,1973,0.05,33571.1,
Lévis,1974,0.05,35249.7,
Lévis,1975,0.05,37012.2,
Lévis,1976,0.05,38862.8,
Lévis,1977,0.05,40805.9,
Lévis,1978,0.05,42846.2,
Lévis,1979,0.05,44988.5,
Lévis,1980,0.08,47237.9,
Lévis,1981,0.08,51017.0,
Lévis,1982,0.08,55098.3,
Lévis,1983,0.08,59506.2,
Lévis,1984,0.08,64266.7,
Lévis,1985,0.08,69408.0,
Lévis,1986,0.08,74960.7,
Lévis,1987,0.08,80957.5,
Lévis,1988,0.08,87434.1,
Lévis,1989,0.08,94428.9,
Lévis,1990,0.04,101983.2,
Lévis,1991,0.04,106062.5,
Lévis,1992,0.04,110305.0,
Lévis,1993,0.04,114717.2,
Lévis,1994,0.04,119305.9,
Lévis,1995,0.04,124078.1,
Lévis,1996,0.04,129041.3,
Lévis,1997,0.04,134202.9,
Lévis,1998,0.04,139571.0,
Lévis,1999,0.04,145153.9,
Lévis,2000,0.06,150960.0,
Lévis,2001,0.06,160017.6,
Lévis,2002,0.06,169618.7,
Lévis,2003,0.06,179795.8,
Lévis,2004,0.06,190583.5,
Lévis,2005,0.06,202018.6,
Lévis,2006,0.06,214139.7,
Lévis,2007,0.06,226988.0,
Lévis,2008,0.06,240607.3,
Lévis,2009,0.06,255043.8,
Lévis,2010,0.05,270346.4,
Lévis,2011,0.05,283863.7,
Lévis,2012,0.05,298056.9,
Lévis,2013,0.05,312959.8,
Lévis,2014,0.05,328607.7,
Lévis,2015,0.05,345038.1,
Lévis,2016,0.05,362290.0,
Lévis,2017,0.05,380404.5,
Lévis,2018,0.05,399424.8,
Lévis,2019,0.05,419396.0,
Lévis,2020,0.07,440365.8,
Lévis,2021,0.08,508886.7,recent
Lévis,2021,0.06,499462.9,average
Lévis,2022,0.08,544508.8,recent
Lévis,2022,0.06,534425.3,average
Lévis,2023,0.08,582624.4,recent
Lévis,2023,0.06,571835.1,average
Lévis,2024,0.08,623408.1,recent
Lévis,2024,0.06,611863.5,average
Lévis,2025,0.08,667046.7,recent
Lévis,2025,0.06,654694.0,average
Sainte-Foy–Sillery–Cap-Rouge,1970,0.05,31000.0,
Sainte-Foy–Sillery–Cap-Rouge,1971,0.05,32550.0,
Sainte-Foy–Sillery–Cap-Rouge,1972,0.05,34177.5,
Sainte-Foy–Sillery–Cap-Rouge,1973,0.05,35886.4,
Sainte-Foy–Sillery–Cap-Rouge,1974,0.05,37680.7,
Sainte-Foy–Sillery–Cap-Rouge,1975,0.05,39564.7,
Sainte-Foy–Sillery–Cap-Rouge,1976,0.05,41543.0,
Sainte-Foy–Sillery–Cap-Rouge,1977,0.05,43620.1,
Sainte-Foy–Sillery–Cap-Rouge,1978,0.05,45801.1,
Sainte-Foy–Sillery–Cap-Rouge,1979,0.05,48091.2,
Sainte-Foy–Sillery–Cap-Rouge,1980,0.08,50495.7,
Sainte-Foy–Sillery–Cap-Rouge,1981,0.08,54535.4,
Sainte-Foy–Sillery–Cap-Rouge,1982,0.08,58898.2,
Sainte-Foy–Sillery–Cap-Rouge,1983,0.08,63610.1,
Sainte-Foy–Sillery–Cap-Rouge,1984,0.08,68698.9,
Sainte-Foy–Sillery–Cap-Rouge,1985,0.08,74194.8,
Sainte-Foy–Sillery–Cap-Rouge,1986,0.08,80130.4,
Sainte-Foy–Sillery–Cap-Rouge,1987,0.08,86540.8,
Sainte-Foy–Sillery–Cap-Rouge,1988,0.08,93464.1,
Sainte-Foy–Sillery–Cap-Rouge,1989,0.08,100941.2,
Sainte-Foy–Sillery–Cap-Rouge,1990,0.04,109016.5,
Sainte-Foy–Sillery–Cap-Rouge,1991,0.04,113377.2,
Sainte-Foy–Sillery–Cap-Rouge,1992,0.04,117912.2,
Sainte-Foy–Sillery–Cap-Rouge,1993,0.04,122628.7,
Sainte-Foy–Sillery–Cap-Rouge,1994,0.04,127533.9,
Sainte-Foy–Sillery–Cap-Rouge,1995,0.04,132635.2,
Sainte-Foy–Sillery–Cap-Rouge,1996,0.04,137940.7,
Sainte-Foy–Sillery–Cap-Rouge,1997,0.04,143458.3,
Sainte-Foy–Sillery–Cap-Rouge,1998,0.04,149196.6,
Sainte-Foy–Sillery–Cap-Rouge,1999,0.04,155164.5,
Sainte-Foy–Sillery–Cap-Rouge,2000,0.06,161371.1,
Sainte-Foy–Sillery–Cap-Rouge,2001,0.06,171053.3,
Sainte-Foy–Sillery–Cap-Rouge,2002,0.06,181316.5,
Sainte-Foy–Sillery–Cap-Rouge,2003,0.06,192195.5,
Sainte-Foy–Sillery–Cap-Rouge,2004,0.06,203727.2,
Sainte-Foy–Sillery–Cap-Rouge,2005,0.06,215950.9,
Sainte-Foy–Sillery–Cap-Rouge,2006,0.06,228907.9,
Sainte-Foy–Sillery–Cap-Rouge,2007,0.06,242642.4,
Sainte-Foy–Sillery–Cap-Rouge,2008,0.06,257200.9,
Sainte-Foy–Sillery–Cap-Rouge,2009,0.06,272633.0,
Sainte-Foy–Sillery–Cap-Rouge,2010,0.05,288991.0,
Sainte-Foy–Sillery–Cap-Rouge,2011,0.05,303440.5,
Sainte-Foy–Sillery–Cap-Rouge,2012,0.05,318612.6,
Sainte-Foy–Sillery–Cap-Rouge,2013,0.05,334543.2,
Sainte-Foy–Sillery–Cap-Rouge,2014,0.05,351270.3,
Sainte-Foy–Sillery–Cap-Rouge,2015,0.05,368833.9,
Sainte-Foy–Sillery–Cap-Rouge,2016,0.05,387275.6,
Sainte-Foy–Sillery–Cap-Rouge,2017,0.05,406639.3,
Sainte-Foy–Sillery–Cap-Rouge,2018,0.05,426971.3,
Sainte-Foy–Sillery–Cap-Rouge,2019,0.05,448319.9,
Sainte-Foy–Sillery–Cap-Rouge,2020,0.07,470735.9,
Sainte-Foy–Sillery–Cap-Rouge,2021,0.08,543982.4,recent
Sainte-Foy–Sillery–Cap-Rouge,2021,0.06,533908.6,average
Sainte-Foy–Sillery–Cap-Rouge,2022,0.08,582061.1,recent
Sainte-Foy–Sillery–Cap-Rouge,2022,0.06,571282.2,average
Sainte-Foy–Sillery–Cap-Rouge,2023,0.08,622805.4,recent
Sainte-Foy–Sillery–Cap-Rouge,2023,0.06,611272.0,average
Sainte-Foy–Sillery–Cap-Rouge,2024,0.08,666401.8,recent
Sainte-Foy–Sillery–Cap-Rouge,2024,0.06,654061.0,average
Sainte-Foy–Sillery–Cap-Rouge,2025,0.08,713049.9,recent
Sainte-Foy–Sillery–Cap-Rouge,2025,0.06,699845.3,average
Autre (Québec moyen),1970,0.05,31000.0,
Autre (Québec moyen),1971,0.05,32550.0,
Autre (Québec moyen),1972,0.05,34177.5,
Autre (Québec moyen),1973,0.05,35886.4,
Autre (Québec moyen),1974,0.05,37680.7,
Autre (Québec moyen),1975,0.05,39564.7,
Autre (Québec moyen),1976,0.05,41543.0,
Autre (Québec moyen),1977,0.05,43620.1,
Autre (Québec moyen),1978,0.05,45801.1,
Autre (Québec moyen),1979,0.05,48091.2,
Autre (Québec moyen),1980,0.08,50495.7,
Autre (Québec moyen),1981,0.08,54535.4,
Autre (Québec moyen),1982,0.08,58898.2,
Autre (Québec moyen),1983,0.08,63610.1,
Autre (Québec moyen),1984,0.08,68698.9,
Autre (Québec moyen),1985,0.08,74194.8,
Autre (Québec moyen),1986,0.08,80130.4,
Autre (Québec moyen),1987,0.08,86540.8,
Autre (Québec moyen),1988,0.08,93464.1,
Autre (Québec moyen),1989,0.08,100941.2,
Autre (Québec moyen),1990,0.04,109016.5,
Autre (Québec moyen),1991,0.04,113377.2,
Autre (Québec moyen),1992,0.04,117912.2,
Autre (Québec moyen),1993,0.04,122628.7,
Autre (Québec moyen),1994,0.04,127533.9,
Autre (Québec moyen),1995,0.04,132635.2,
Autre (Québec moyen),1996,0.04,137940.7,
Autre (Québec moyen),1997,0.04,143458.3,
Autre (Québec moyen),1998,0.04,149196.6,
Autre (Québec moyen),1999,0.04,155164.5,
Autre (Québec moyen),2000,0.06,161371.1,
Autre (Québec moyen),2001,0.06,171053.3,
Autre (Québec moyen),2002,0.06,181316.5,
Autre (Québec moyen),2003,0.06,192195.5,
Autre (Québec moyen),2004,0.06,203727.2,
Autre (Québec moyen),2005,0.06,215950.9,
Autre (Québec moyen),2006,0.06,228907.9,
Autre (Québec moyen),2007,0.06,242642.4,
Autre (Québec moyen),2008,0.06,257200.9,
Autre (Québec moyen),2009,0.06,272633.0,
Autre (Québec moyen),2010,0.05,288991.0,
