Année,Montréal,Québec (RMR),Gatineau,Sherbrooke,Trois-Rivières,Saguenay,Laval,Longueuil,Lévis,Sainte-Foy–Sillery–Cap-Rouge,Québec moyen,Montréal - variation (%),Québec (RMR) - variation (%),Gatineau - variation (%),Sherbrooke - variation (%),Trois-Rivières - variation (%),Saguenay - variation (%),Laval - variation (%),Longueuil - variation (%),Lévis - variation (%),Sainte-Foy–Sillery–Cap-Rouge - variation (%),Québec moyen - variation (%)
1995,178807.0,147129.0,147253.0,120958.0,105181.0,94662.0,168289.0,163030.0,136735.0,157771.0,147253.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1996,187747.0,154485.0,154615.0,127006.0,110440.0,99396.0,176703.0,171181.0,143571.0,165659.0,154615.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1997,197135.0,162210.0,162346.0,133356.0,115962.0,104365.0,185538.0,179740.0,150750.0,173942.0,162346.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1998,206991.0,170320.0,170463.0,140024.0,121760.0,109584.0,194815.0,188727.0,158288.0,182639.0,170463.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1999,217341.0,178836.0,178987.0,147025.0,127848.0,115063.0,204556.0,198164.0,166202.0,191771.0,178987.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2000,228208.0,187778.0,187936.0,154376.0,134240.0,120816.0,214784.0,208072.0,174512.0,201360.0,187936.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2001,248344.0,203667.0,202702.0,167129.0,145650.0,131555.0,234920.0,227537.0,189278.0,217469.0,202702.0,12.0,11.0,11.0,11.0,11.0,12.0,13.0,13.0,11.0,11.0,11.0
2002,268480.0,219556.0,217469.0,179882.0,157061.0,142294.0,255056.0,247002.0,204045.0,233578.0,217469.0,11.0,10.0,10.0,10.0,11.0,11.0,12.0,11.0,10.0,10.0,10.0
2003,288616.0,235444.0,232235.0,192634.0,168471.0,153034.0,275192.0,266466.0,218811.0,249686.0,232235.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,11.0,10.0,9.0,9.0
2004,308752.0,251333.0,247002.0,205387.0,179882.0,163773.0,295328.0,285931.0,233578.0,265795.0,247002.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0
2005,328888.0,267222.0,261768.0,218140.0,191292.0,174512.0,315464.0,305396.0,248344.0,281904.0,261768.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0
2006,349024.0,283111.0,276534.0,230893.0,202702.0,185251.0,335600.0,324861.0,263110.0,298013.0,276534.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0
2007,369160.0,299000.0,291301.0,243646.0,214113.0,195990.0,355736.0,344326.0,277877.0,314122.0,291301.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0
2008,389296.0,314889.0,306067.0,256398.0,225523.0,206730.0,375872.0,363790.0,292643.0,330230.0,306067.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0
2009,409432.0,330778.0,320834.0,269151.0,236934.0,217469.0,396008.0,383255.0,307410.0,346339.0,320834.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0
2010,429568.0,346667.0,335600.0,281904.0,248344.0,228208.0,416144.0,402720.0,322176.0,362448.0,335600.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0
2011,457087.0,369778.0,361106.0,306067.0,267138.0,245659.0,444334.0,429568.0,346339.0,390638.0,358421.0,9.0,9.0,10.0,12.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0
2012,484606.0,392889.0,386611.0,330230.0,285931.0,263110.0,472525.0,456416.0,370502.0,418829.0,381242.0,8.0,8.0,9.0,11.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0
2013,512126.0,416000.0,412117.0,354394.0,304725.0,280562.0,500715.0,483264.0,394666.0,447019.0,404062.0,8.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0
2014,539645.0,439111.0,437622.0,378557.0,323518.0,298013.0,528906.0,510112.0,418829.0,475210.0,426883.0,7.0,7.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0
2015,567164.0,462222.0,463128.0,402720.0,342312.0,315464.0,557096.0,536960.0,442992.0,503400.0,449704.0,7.0,7.0,8.0,9.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0
2016,594683.0,485333.0,488634.0,426883.0,361106.0,332915.0,585286.0,563808.0,467155.0,531590.0,472525.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0
2017,622202.0,508444.0,514139.0,451046.0,379899.0,350366.0,613477.0,590656.0,491318.0,559781.0,495346.0,6.0,6.0,7.0,8.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0
2018,649722.0,531556.0,539645.0,475210.0,398693.0,367818.0,641667.0,617504.0,515482.0,587971.0,518166.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0
2019,677241.0,554667.0,565150.0,499373.0,417486.0,385269.0,669858.0,644352.0,539645.0,616162.0,540987.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2020,704760.0,577778.0,590656.0,523536.0,436280.0,402720.0,698048.0,671200.0,563808.0,644352.0,563808.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2021,731608.0,592222.0,609718.0,544209.0,451046.0,413996.0,719526.0,692678.0,574547.0,669858.0,585286.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0
2022,758456.0,606667.0,628780.0,564882.0,465813.0,425272.0,741005.0,714157.0,585286.0,695363.0,606765.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0
2023,785304.0,621111.0,647842.0,585555.0,480579.0,436548.0,762483.0,735635.0,596026.0,720869.0,628243.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0
2024,812152.0,635556.0,666904.0,606228.0,495346.0,447825.0,783962.0,757114.0,606765.0,746374.0,649722.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,5.0,5.0
2025,839000.0,650000.0,685966.0,626901.0,510112.0,459101.0,805440.0,778592.0,617504.0,771880.0,671200.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,5.0,4.0
