Année,Montréal,Québec (RMR),Gatineau,Sherbrooke,Trois-Rivières,Saguenay,Laval,Longueuil,Lévis,Sainte-Foy–Sillery–Cap-Rouge,Québec moyen,Montréal - variation (%),Québec (RMR) - variation (%),Gatineau - variation (%),Sherbrooke - variation (%),Trois-Rivières - variation (%),Saguenay - variation (%),Laval - variation (%),Longueuil - variation (%),Lévis - variation (%),Sainte-Foy–Sillery–Cap-Rouge - variation (%),Québec moyen - variation (%)
1992,80543.88408141374,61592.38194461051,66330.25747881131,54485.5686433093,47378.75534200809,42640.87980780728,75806.00854721294,73437.07078011254,61592.38194461051,71068.13301301212,66330.25747881131,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004
1993,84571.07828548444,64672.001041841046,69646.77035275189,57209.847075474776,49747.6931091085,44772.92379819765,79596.3089745736,77108.92431911817,64672.001041841046,74621.53966366276,69646.77035275189,5.000000000000027,5.000000000000004,5.000000000000027,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000049,5.000000000000027
1994,88799.63219975868,67905.6010939331,73129.1088703895,60070.33942924851,52235.077764563925,47011.569988107534,83576.12442330227,80964.3705350741,67905.6010939331,78352.61664684588,73129.1088703895,5.000000000000004,5.000000000000004,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004,4.999999999999982,5.000000000000004
1995,93239.61380974662,71300.88114862976,76785.56431390897,63073.856400710945,54846.83165279213,49362.14848751292,87754.93064446739,85012.58906182779,71300.88114862976,82270.24747918818,76785.56431390897,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004,5.000000000000004
1996,97901.59450023394,74865.92520606123,80624.84252960442,66227.54922074648,57589.17323543172,51830.25591188855,92142.67717669076,89263.21851491916,74865.92520606123,86383.75985314758,80624.84252960442,5.000000000000004,4.999999999999982,5.000000000000004,4.999999999999982,4.999999999999982,4.99999999999996,5.000000000000004,4.999999999999982,4.999999999999982,4.999999999999982,5.000000000000004
1997,102796.67422524563,78609.22146636431,84656.08465608464,69538.9266817838,60468.63189720331,54421.76870748298,96749.81103552532,93726.37944066514,78609.22146636431,90702.94784580497,84656.08465608464,4.999999999999982,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000027,5.000000000000027,5.000000000000004,5.000000000000004
1998,107936.50793650791,82539.68253968253,88888.88888888888,73015.87301587302,63492.063492063484,57142.85714285714,101587.30158730158,98412.6984126984,82539.68253968253,95238.09523809524,88888.88888888888,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004
1999,113333.33333333331,86666.66666666666,93333.33333333331,76666.66666666666,66666.66666666666,59999.99999999999,106666.66666666666,103333.33333333331,86666.66666666666,99999.99999999999,93333.33333333331,5.000000000000004,5.000000000000004,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004,5.000000000000004,4.999999999999982,5.000000000000004,4.999999999999982,5.000000000000004
2000,118999.99999999999,91000.0,98000.0,80500.0,70000.0,62999.99999999999,112000.0,108500.0,91000.0,105000.0,98000.0,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000027
2001,129499.99999999999,98700.0,105700.0,87150.0,75950.0,68600.0,122499.99999999999,118649.99999999999,98700.0,113400.0,105700.0,8.823529411764696,8.461538461538453,7.857142857142851,8.260869565217387,8.499999999999996,8.888888888888902,9.374999999999979,9.354838709677416,8.461538461538453,8.000000000000007,7.857142857142851
2002,140000.0,106400.0,113400.0,93800.0,81900.0,74200.0,133000.0,128799.99999999999,106400.0,121799.99999999999,113400.0,8.108108108108114,7.801418439716312,7.284768211920523,7.63052208835342,7.834101382488479,8.163265306122458,8.571428571428585,8.55457227138643,7.801418439716312,7.407407407407396,7.284768211920523
2003,150500.0,114100.0,121099.99999999999,100450.0,87850.0,79800.0,143500.0,138950.0,114100.0,130199.99999999999,121099.99999999999,7.499999999999996,7.236842105263164,6.790123456790109,7.089552238805963,7.264957264957261,7.547169811320753,7.8947368421052655,7.880434782608714,7.236842105263164,6.896551724137923,6.790123456790109
2004,161000.0,121799.99999999999,128799.99999999999,107100.0,93800.0,85400.0,154000.0,149100.0,121799.99999999999,138600.0,128799.99999999999,6.976744186046502,6.748466257668695,6.358381502890165,6.6202090592334395,6.7729083665338585,7.017543859649122,7.317073170731714,7.304785894206556,6.748466257668695,6.451612903225823,6.358381502890165
2005,171500.0,129499.99999999999,136500.0,113750.0,99750.0,91000.0,164500.0,159250.0,129499.99999999999,147000.0,136500.0,6.521739130434789,6.321839080459779,5.978260869565233,6.209150326797386,6.343283582089554,6.557377049180335,6.818181818181812,6.8075117370892,6.321839080459779,6.060606060606055,5.978260869565233
2006,182000.0,137200.0,144200.0,120399.99999999999,105700.0,96600.0,175000.0,169400.0,137200.0,155400.0,144200.0,6.1224489795918435,5.945945945945952,5.641025641025643,5.846153846153834,5.964912280701751,6.153846153846154,6.382978723404253,6.373626373626373,5.945945945945952,5.714285714285716,5.641025641025643
2007,192500.0,144900.0,151900.0,127049.99999999999,111650.0,102200.0,185500.0,179550.0,144900.0,163800.0,151900.0,5.769230769230771,5.612244897959173,5.339805825242716,5.523255813953498,5.629139072847678,5.797101449275366,6.000000000000005,5.991735537190079,5.612244897959173,5.405405405405395,5.339805825242716
2008,203000.0,152600.0,159600.0,133700.0,117599.99999999999,107800.0,196000.0,189700.0,152600.0,172200.0,159600.0,5.454545454545445,5.31400966183575,5.069124423963123,5.234159779614345,5.3291536050156685,5.47945205479452,5.660377358490565,5.653021442495132,5.31400966183575,5.128205128205132,5.069124423963123
2009,213500.0,160300.0,167300.0,140350.0,123549.99999999999,113400.0,206500.0,199850.0,160300.0,180600.0,167300.0,5.1724137931034475,5.045871559633031,4.824561403508776,4.973821989528804,5.059523809523814,5.1948051948051965,5.35714285714286,5.350553505535061,5.045871559633031,4.878048780487809,4.824561403508776
2010,224000.0,168000.0,175000.0,147000.0,129499.99999999999,118999.99999999999,217000.0,210000.0,168000.0,189000.0,175000.0,4.918032786885251,4.8034934497816595,4.602510460251041,4.738154613466339,4.815864022662897,4.938271604938249,5.084745762711873,5.078809106830118,4.8034934497816595,4.651162790697683,4.602510460251041
2011,238349.99999999997,179200.0,188300.0,159600.0,139300.0,128099.99999999999,231699.99999999997,224000.0,180600.0,203700.0,186900.0,6.406249999999991,6.666666666666665,7.600000000000007,8.571428571428562,7.567567567567579,7.647058823529407,6.774193548387086,6.666666666666665,7.499999999999996,7.777777777777772,6.800000000000006
2012,252699.99999999997,190400.0,201600.0,172200.0,149100.0,137200.0,246399.99999999997,237999.99999999997,193200.0,218400.0,198800.0,6.02055800293686,6.25,7.063197026022294,7.8947368421052655,7.035175879396993,7.10382513661203,6.344410876132933,6.249999999999978,6.976744186046502,7.216494845360821,6.367041198501866
2013,267050.0,201600.0,214900.0,184800.0,158900.0,146300.0,261099.99999999997,251999.99999999997,205800.0,233099.99999999997,210700.0,5.678670360110805,5.882352941176472,6.597222222222232,7.317073170731714,6.572769953051649,6.632653061224492,5.965909090909083,5.882352941176472,6.521739130434789,6.730769230769207,5.98591549295775
2014,281400.0,212800.0,228200.0,197400.0,168700.0,155400.0,275800.0,266000.0,218400.0,247799.99999999997,222600.0,5.373525557011805,5.555555555555558,6.1889250814332275,6.818181818181812,6.167400881057272,6.2200956937799035,5.630026809651478,5.555555555555558,6.1224489795918435,6.3063063063063085,5.6478405315614655
2015,295750.0,224000.0,241499.99999999997,210000.0,178500.0,164500.0,290500.0,280000.0,230999.99999999997,262500.0,234499.99999999997,5.099502487562191,5.263157894736836,5.828220858895694,6.382978723404253,5.809128630705396,5.855855855855863,5.3299492385786795,5.263157894736836,5.769230769230749,5.932203389830515,5.345911949685522
2016,310100.0,235199.99999999997,254799.99999999997,222600.0,188300.0,173600.0,305200.0,294000.0,243599.99999999997,277200.0,246399.99999999997,4.852071005917158,4.999999999999982,5.507246376811592,6.000000000000005,5.490196078431375,5.531914893617018,5.060240963855422,5.000000000000004,5.454545454545445,5.600000000000005,5.074626865671639
2017,324450.0,246399.99999999997,268100.0,235199.99999999997,198100.0,182700.0,319900.0,308000.0,256199.99999999997,291900.0,258299.99999999997,4.627539503386013,4.761904761904767,5.219780219780223,5.660377358490543,5.2044609665427455,5.241935483870974,4.8165137614679,4.761904761904767,5.1724137931034475,5.303030303030298,4.829545454545459
2018,338800.0,257599.99999999997,281400.0,247799.99999999997,207900.0,191800.0,334600.0,322000.0,268800.0,306600.0,270200.0,4.422869471413171,4.545454545454541,4.960835509138373,5.35714285714286,4.946996466431086,4.980842911877392,4.59518599562363,4.545454545454541,4.918032786885251,5.035971223021574,4.607046070460719
2019,353150.0,268800.0,294700.0,260399.99999999997,217700.0,200900.0,349300.0,336000.0,281400.0,321300.0,282100.0,4.23553719008265,4.347826086956541,4.726368159203975,5.084745762711873,4.7138047138047146,4.744525547445266,4.3933054393305415,4.347826086956519,4.6875,4.794520547945202,4.404145077720201
2020,367500.0,280000.0,308000.0,273000.0,227500.0,210000.0,364000.0,350000.0,294000.0,336000.0,294000.0,4.063429137760166,4.166666666666674,4.51306413301662,4.838709677419373,4.5016077170418,4.529616724738683,4.208416833667328,4.166666666666674,4.477611940298498,4.575163398692816,4.218362282878418
2021,381500.0,287000.0,317940.0,283780.0,235199.99999999997,215880.0,375200.0,361200.0,299600.0,349300.0,305200.0,3.809523809523818,2.499999999999991,3.227272727272723,3.948717948717939,3.3846153846153637,2.8000000000000025,3.076923076923066,3.200000000000003,1.904761904761898,3.9583333333333304,3.809523809523818
2022,395500.0,294000.0,327880.0,294560.0,242899.99999999997,221760.0,386400.0,372400.0,305200.0,362600.0,316400.0,3.669724770642202,2.4390243902439046,3.1263760457947987,3.798717316230893,3.2738095238095344,2.7237354085603016,2.9850746268656803,3.100775193798455,1.869158878504673,3.8076152304609145,3.669724770642202
2023,409500.0,301000.0,337820.0,305340.0,250599.99999999997,227640.0,397600.0,383600.0,310800.0,375900.0,327600.0,3.539823008849563,2.3809523809523725,3.031596925704516,3.6596958174905048,3.1700288184438152,2.6515151515151603,2.898550724637672,3.007518796992481,1.83486238532109,3.6679536679536717,3.539823008849563
2024,423500.0,308000.0,347760.0,316120.0,258299.99999999997,233519.99999999997,408800.0,394800.0,316400.0,389200.0,338800.0,3.418803418803429,2.3255813953488413,2.9423953584749363,3.5304906006419,3.0726256983240274,2.58302583025829,2.8169014084507005,2.9197080291970767,1.8018018018018056,3.5381750465549366,3.418803418803429
2025,437500.0,315000.0,357700.0,326900.0,266000.0,239399.99999999997,420000.0,406000.0,322000.0,402500.0,350000.0,3.305785123966931,2.2727272727272707,2.8582930756843705,3.4100974313551857,2.981029810298108,2.517985611510798,2.7397260273972712,2.8368794326241176,1.7699115044247815,3.4172661870503607,3.305785123966931
